r       t
1	1843
2	1941
3	1991
4	1934
5	1851
6	1858
7	1834
8	1894
9	1652
10	1825
11	1749
12	1810
13	1959
14	1925
15	1798
16	1750
17	1910
18	1892
19	1818
20	1668
21	1870
22	1912
23	1772
24	1861
25	1745
26	1840
27	1880
28	1952
29	1876
30	1770
31	1767
32	1708
33	1655
34	1735
35	1867
36	1897
37	1811
38	1778
39	1905
40	1918
41	1826
42	1649
43	1881
44	1752
45	1813
46	1925
47	1969
48	2045
49	1734
50	1986
51	1872
52	1955
53	1734
54	1707
55	2033
56	1875
57	1906
58	1945
59	1747
60	1970
61	2055
62	1778
63	1981
64	1727
65	1711
66	1845
67	1931
68	1838
69	1899
70	1846
71	1739
72	2071
73	1852
74	1917
75	1752
76	1935
77	1850
78	2063
79	1926
80	1876
81	1983
82	1802
83	1829
84	2046
85	1821
86	1817
87	1875
88	2036
89	1724
90	1905
91	1960
92	1694
93	1960
94	1921
95	1758
96	1984
97	1730
98	1980
99	1805
100	1927
101	1813
102	1835
103	1922
104	1926
105	2124
106	1957
107	1858
108	1859
109	1949
110	1756
111	2016
112	1911
113	1842
114	1812
115	1901
116	1918
117	1889
118	1721
119	1905
120	1906
121	1929
122	1853
123	1915
124	1877
125	1690
126	1947
127	1838
128	1756
129	1905
130	1898
131	1965
132	1976
133	1994
134	1874
135	1885
136	1992
137	1808
138	2005
139	1823
140	2046
141	2078
142	1789
143	1905
144	1844
145	1864
146	1764
147	2039
148	2014
149	1790
150	1896
151	1886
152	1982
153	2003
154	1734
155	1832
156	2014
157	1972
158	1913
159	2078
160	1854
161	1756
162	1964
163	1783
164	2041
165	1801
166	1925
167	1973
168	1865
169	1892
170	2132
171	1848
172	1884
173	1794
174	1997
175	1963
176	1908
177	2040
178	1942
179	1878
180	1740
181	1793
182	2003
183	2011
184	2101
185	2025
186	1776
187	2013
188	1946
189	1947
190	1999
191	2077
192	1968
193	1922
194	1762
195	1946
196	1963
197	1952
198	1884
199	1730
200	1783
201	1882
202	1868
203	1918
204	1916
205	1803
206	1839
207	2167
208	1733
209	2022
210	1887
211	1777
212	2108
213	1835
214	2061
215	2078
216	1773
217	1681
218	2001
219	1976
220	1960
221	1946
222	1963
223	1886
224	1809
225	1982
226	2118
227	2013
228	1891
229	1887
230	2027
231	1915
232	1983
233	1825
234	2100
235	1846
236	1870
237	1834
238	1844
239	1880
240	1724
241	1948
242	1902
243	2161
244	2004
245	1881
246	2080
247	2030
248	1884
249	1990
250	1943
251	2104
252	1884
253	1847
254	1884
255	1918
256	2067
257	1877
258	1866
259	1875
260	1969
261	1797
262	1996
263	1896
264	1865
265	1985
266	1949
267	1942
268	2043
269	2004
270	2031
271	2053
272	1891
273	1858
274	2049
275	1795
276	1944
277	2023
278	2074
279	2034
280	1945
281	1930
282	2020
283	2033
284	1979
285	1803
286	1875
287	1956
288	1910
289	1942
290	2033
291	2152
292	1963
293	1955
294	1901
295	2029
296	1866
297	2056
298	1897
299	1785
300	1975
301	1830
302	2090
303	2079
304	1904
305	2028
306	2139
307	2044
308	1970
309	2068
310	1989
311	1804
312	1907
313	1932
314	2070
315	2115
316	1953
317	1835
318	1952
319	2056
320	1980
321	1901
322	2049
323	1853
324	2046
325	1849
326	2109
327	1699
328	2184
329	1886
330	1800
331	1982
332	1921
333	2150
334	1958
335	2002
336	2029
337	1951
338	1956
339	1914
340	1918
341	1838
342	1933
343	2000
344	1969
345	1897
346	1986
347	2204
348	1931
349	1808
350	2064
351	2126
352	1927
353	2007
354	1833
355	1863
356	2047
357	1755
358	1866
359	2044
360	1902
361	1888
362	1933
363	1993
364	1877
365	2066
366	1900
367	2109
368	1913
369	2027
370	1897
371	1997
372	2060
373	1998
374	1898
375	1927
376	2073
377	2059
378	1925
379	1888
380	2080
381	1865
382	1864
383	1889
384	2055
385	1900
386	1935
387	1994
388	1906
389	1974
390	1934
391	1974
392	2025
393	2024
394	1812
395	2079
396	1979
397	1925
398	2050
399	2051
400	2101
